"ï..date","class","focuses","uf"
"2019/11","Floresta","16","mato grosso"
"2020/10","Desmatamento Consolidado","1130","mato grosso"
"2020/12","Outros","15","mato grosso"
"2019/11","Desmatamento Consolidado","445","mato grosso"
"2020/01","Desmatamento Recente","69","mato grosso"
"2020/01","Desmatamento Consolidado","285","mato grosso"
"2020/12","Desmatamento Recente","136","mato grosso"
"2020/08","Desmatamento Recente","1639","mato grosso"
"2020/02","Outros","36","mato grosso"
"2019/08","Floresta","403","mato grosso"
"2020/02","Floresta","1","mato grosso"
"2020/08","Floresta","404","mato grosso"
"2020/02","Desmatamento Recente","33","mato grosso"
"2020/02","Desmatamento Consolidado","458","mato grosso"
"2020/08","Outros","217","mato grosso"
"2020/03","Floresta","2","mato grosso"
"2020/03","Desmatamento Recente","45","mato grosso"
"2020/03","Desmatamento Consolidado","665","mato grosso"
"2020/07","Desmatamento Consolidado","345","mato grosso"
"2020/04","Outros","50","mato grosso"
"2020/04","Floresta","2","mato grosso"
"2020/04","Desmatamento Recente","78","mato grosso"
"2020/04","Desmatamento Consolidado","405","mato grosso"
"2020/07","Desmatamento Recente","402","mato grosso"
"2020/12","Desmatamento Consolidado","198","mato grosso"
"2020/03","Outros","50","mato grosso"
"2020/05","Outros","59","mato grosso"
"2020/05","Floresta","17","mato grosso"
"2020/05","Desmatamento Recente","229","mato grosso"
"2020/07","Floresta","62","mato grosso"
"2019/08","Outros","385","mato grosso"
"2020/05","Desmatamento Consolidado","287","mato grosso"
"2020/07","Outros","141","mato grosso"
"2020/06","Outros","109","mato grosso"
"2020/06","Floresta","87","mato grosso"
"2020/06","Desmatamento Consolidado","555","mato grosso"
"2020/06","Desmatamento Recente","552","mato grosso"
"2020/01","Floresta","3","mato grosso"
"2020/04","Desmatamento Consolidado","1","maranhao"
"2020/10","Desmatamento Consolidado","586","maranhao"
"2020/10","Outros","67","maranhao"
"2020/06","Desmatamento Recente","28","maranhao"
"2020/11","Desmatamento Recente","88","maranhao"
"2019/11","Desmatamento Recente","170","maranhao"
"2020/06","Desmatamento Consolidado","49","maranhao"
"2019/08","Desmatamento Consolidado","168","maranhao"
"2019/11","Outros","70","maranhao"
"2020/10","Floresta","33","maranhao"
"2020/09","Desmatamento Consolidado","321","maranhao"
"2020/06","Outros","9","maranhao"
"2019/09","Desmatamento Consolidado","207","maranhao"
"2019/11","Desmatamento Consolidado","1480","maranhao"
"2020/07","Outros","9","maranhao"
"2020/09","Desmatamento Recente","40","maranhao"
"2019/09","Desmatamento Recente","12","maranhao"
"2019/08","Outros","12","maranhao"
"2020/05","Desmatamento Consolidado","14","maranhao"
"2019/12","Outros","54","maranhao"
"2020/11","Floresta","3","maranhao"
"2020/05","Desmatamento Recente","4","maranhao"
"2020/07","Floresta","4","maranhao"
"2020/12","Desmatamento Recente","49","maranhao"
"2019/12","Floresta","3","maranhao"
