date;class;focuses;uf
2020/10;Desmatamento Recente;47;AMAPA
2020/11;Desmatamento Consolidado;25;AMAPA
2019/08;Floresta;2;AMAPA
2020/03;Desmatamento Consolidado;1;AMAPA
2019/10;Desmatamento Recente;49;AMAPA
2019/09;Outros;109;AMAPA
2020/08;Outros;9;AMAPA
2020/08;Floresta;1;AMAPA
2020/10;Desmatamento Consolidado;155;AMAPA
2020/02;Outros;1;AMAPA
2020/12;Desmatamento Recente;4;AMAPA
2020/01;Desmatamento Consolidado;1;AMAPA
2020/08;Desmatamento Recente;1;AMAPA
2020/12;Outros;5;AMAPA
2019/10;Outros;283;AMAPA
2020/01;Outros;1;AMAPA
2020/08;Desmatamento Consolidado;5;AMAPA
2020/11;Outros;40;AMAPA
2019/12;Desmatamento Consolidado;11;AMAPA
2019/08;Desmatamento Consolidado;2;AMAPA
2020/09;Outros;52;AMAPA
2019/12;Desmatamento Recente;4;AMAPA
2019/09;Desmatamento Consolidado;25;AMAPA
2020/09;Floresta;6;AMAPA
2020/11;Floresta;7;AMAPA
2019/12;Outros;44;AMAPA
2019/08;Outros;16;AMAPA
2020/09;Desmatamento Recente;3;AMAPA
2020/12;Floresta;5;AMAPA
2019/11;Desmatamento Consolidado;140;AMAPA
2019/09;Desmatamento Recente;2;AMAPA
2019/11;Desmatamento Recente;53;AMAPA
2020/09;Desmatamento Consolidado;23;AMAPA
2020/11;Desmatamento Recente;4;AMAPA
2019/08;Desmatamento Recente;1;AMAPA
2019/11;Floresta;52;AMAPA
2020/10;Outros;259;AMAPA
2019/11;Outros;258;AMAPA
2019/10;Floresta;63;AMAPA
2019/12;Desmatamento Recente;1;ACRE
2020/07;Outros;1;ACRE
2020/05;Desmatamento Recente;18;ACRE
2020/07;Floresta;29;ACRE
2020/04;Desmatamento Consolidado;4;ACRE
2020/07;Desmatamento Recente;184;ACRE
2020/03;Desmatamento Consolidado;1;ACRE
2020/12;Desmatamento Consolidado;2;ACRE
2020/07;Desmatamento Consolidado;121;ACRE
2020/08;Floresta;364;ACRE
2020/01;Desmatamento Consolidado;5;ACRE
2020/08;Desmatamento Recente;2308;ACRE
2020/01;Desmatamento Recente;11;ACRE
2020/08;Desmatamento Consolidado;906;ACRE
2020/05;Desmatamento Consolidado;21;ACRE
2020/06;Floresta;2;ACRE
2020/09;Floresta;408;ACRE
2019/11;Desmatamento Consolidado;21;ACRE
2020/09;Desmatamento Recente;2094;ACRE
2019/11;Desmatamento Recente;20;ACRE
2020/09;Desmatamento Consolidado;855;ACRE
2019/11;Floresta;3;ACRE
2020/10;Floresta;89;ACRE
2019/10;Desmatamento Consolidado;126;ACRE
2020/10;Desmatamento Recente;1079;ACRE
2019/10;Desmatamento Recente;215;ACRE
2020/06;Desmatamento Consolidado;42;ACRE
2020/10;Desmatamento Consolidado;484;ACRE
2020/06;Desmatamento Recente;27;ACRE
2019/09;Desmatamento Consolidado;771;ACRE
2020/11;Floresta;13;ACRE
2019/09;Desmatamento Recente;1901;ACRE
2020/11;Desmatamento Recente;68;ACRE
2019/09;Floresta;305;ACRE
2020/11;Desmatamento Consolidado;48;ACRE
2019/08;Desmatamento Consolidado;810;ACRE
2019/08;Desmatamento Recente;1972;ACRE
2019/08;Floresta;268;ACRE
2020/12;Desmatamento Recente;9;ACRE
2019/08;Outros;1;ACRE
2019/10;Floresta;13;ACRE
