ANO_ELEICAO,SIGLA_UF,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_CAND,TOTAL_VOTOS
2014,MG,BELO HORIZONTE,CARLOS DIAMANTINO ALKMIM,PDT,1254,438
2014,MG,BELO HORIZONTE,CARLOS DO CARMO ANDRADE MELLES,DEM,2555,1292
2014,MG,BELO HORIZONTE,CARLOS EDUARDO DA CUNHA,PSL,1747,402
2014,MG,BELO HORIZONTE,CARLOS EDUARDO VENTURELLI MOSCONI,PSDB,4513,1866
2014,MG,BELO HORIZONTE,CARLOS EINSTEIN GOMES DINIZ,PT,1332,191
2014,MG,BELO HORIZONTE,CARLOS FREDERICO MARCELO DA CUNHA CAVALCANTI,PSC,2022,612
2014,MG,BELO HORIZONTE,CARLOS HENRIQUE FERRARA FERNANDES,PT do B,7060,278
2014,MG,BELO HORIZONTE,CARLOS MAGNO TABORDA,PTN,1972,105
2014,MG,BELO HORIZONTE,CARLOS RENATO DIAS MUNIZ,PSDC,2777,591
2014,MG,BELO HORIZONTE,CARLOS WAGNER DA SILVA DIAS,PTC,3651,0
2014,MG,BELO HORIZONTE,CAROLINA MARIA ALVARENGA ESPERANCA FONSECA,PT,1360,82
2014,MG,BELO HORIZONTE,CATHIA INDIO DO BRASIL KENTISH,PMDB,1509,227
2014,MG,BELO HORIZONTE,CELENE GOMES SANTIAGO,PV,4390,20
2014,MG,BELO HORIZONTE,CELESTE ALFREDO FERNANDES,PSB,4022,348
2014,MG,BELO HORIZONTE,CELIA ALVES PEREIRA,PT do B,7031,2045
2014,MG,BELO HORIZONTE,CELIA MARIA BENEVIDES CORDEIRO,SD,7727,69
2014,MG,BELO HORIZONTE,CELTON ROCHA MESQUITA,PT do B,7057,1645
2014,MG,BELO HORIZONTE,CELY PEREIRA DOS SANTOS,PSL,1788,307
2014,MG,BELO HORIZONTE,CESAR LOURENCO DIAS DE CASTRO,PT do B,7019,1340
2014,MG,BELO HORIZONTE,CEZAR BATISTA DE OLIVEIRA,SD,7700,0
2014,MG,BELO HORIZONTE,CHARLES CARDOSO DE JESUS,PTB,1425,472
2014,MG,BELO HORIZONTE,CHRISTIANE OLIVEIRA BEZERRA PRINCE,PSD,5590,7
2014,MG,BELO HORIZONTE,CIRLAINE MARIA LIBERATO DE AVELIZ,PTN,1951,5
2014,MG,BELO HORIZONTE,CIRLENE ANICIO DE BRITO,PCB,2133,36
2014,MG,BELO HORIZONTE,CLARA MARTINS CIRINO DOS SANTOS,PTC,3660,0
2014,MG,BELO HORIZONTE,CLAUDIA FERNANDES DOS SANTOS,PTN,1927,148
2014,MG,BELO HORIZONTE,CLAUDINE BENEDITO BATALHA,PSL,1722,12
2014,MG,BELO HORIZONTE,CLAUDIO ALFREDO DE LIMA NAVES,PTC,3678,85
2014,MG,BELO HORIZONTE,CLEIDE MARIA DE SOUZA,PT,1371,24
2014,MG,BELO HORIZONTE,CLESIO MUCIO DRUMOND FILHO,PSB,4003,137
2014,MG,BELO HORIZONTE,CLESIO REZENDE COSTA,PSL,1789,88
2014,MG,BELO HORIZONTE,CLOVIS ADRIANO GARCIA,PT do B,7003,332
2014,MG,BELO HORIZONTE,CRISTIANE APARECIDA DA SILVA,PSL,1785,7
2014,MG,BELO HORIZONTE,CROVYMARA ELIAS BATALHA,PMDB,1578,100
2014,MG,BELO HORIZONTE,CYRANO VITALI VIOTTI,PPS,2333,236
2014,MG,BELO HORIZONTE,DACI CLEIA ALVES DE OLIVEIRA,PDT,1242,14
2014,MG,BELO HORIZONTE,DALMO DE ASSIS PEREIRA,PSDB,4544,336
2014,MG,BELO HORIZONTE,DALTON HENRIQUE DE ALBUQUERQUE,PEN,5170,2
2014,MG,BELO HORIZONTE,DAMINA DE CARVALHO PEREIRA,PMN,3333,807
2014,MG,BELO HORIZONTE,DANIEL FRAGA ALPES,PSL,1790,21
2014,MG,BELO HORIZONTE,DANIEL GOMES SIMIAO,PV,4399,83
2014,MG,BELO HORIZONTE,DANIEL LAGES WARDIL,PSTU,1644,116
2014,MG,BELO HORIZONTE,DAVID DA SILVA MARQUES SILVEIRA,DEM,2599,0
2014,MG,BELO HORIZONTE,DENISE FERREIRA PINTO,PMDB,1588,72
2014,MG,BELO HORIZONTE,DEUSDEDIT BERNARDO DOS REIS,PMN,3312,66
2014,MG,BELO HORIZONTE,DEYSE KELLY RODRIGUES DA COSTA,PSD,5580,9
2014,MG,BELO HORIZONTE,DIEGO LEONARDO DE ANDRADE CARVALHO,PSD,5555,10876
2014,MG,BELO HORIZONTE,DILZA MONICA DE CARVALHO,PSL,1777,47
2014,MG,BELO HORIZONTE,DIMAS FABIANO TOLEDO JUNIOR,PP,1111,2983
