"","ANO_ELEICAO","SIGLA_UF","NOME_MUNICIPIO","NOME_CANDIDATO","SIGLA_PARTIDO","NUMERO_CAND","TOTAL_VOTOS"
"52",2014,"MG","BELO HORIZONTE","ANGELA MAIRINK DE SOUZA PEREIRA","PRB",1002,0
"53",2014,"MG","BELO HORIZONTE","ANGELA MARIA CARDOSO FARIAS","PTC",3630,21
"54",2014,"MG","BELO HORIZONTE","ANGELA MARIA DA SILVA","PRTB",2852,25
"55",2014,"MG","BELO HORIZONTE","ANGELO AMARO DA SILVA","PSOL",5070,77
"56",2014,"MG","BELO HORIZONTE","ANTONIA DE JESUS FERREIRA ARAUJO","DEM",2514,322
"57",2014,"MG","BELO HORIZONTE","ANTONIO ARQUIMEDES BORGES DE OLIVEIRA","PTB",1477,964
"58",2014,"MG","BELO HORIZONTE","ANTONIO CARLOS DUARTE","PSB",4016,95
"59",2014,"MG","BELO HORIZONTE","ANTONIO CARLOS RIBEIRO LEITE","PV",4393,50
"60",2014,"MG","BELO HORIZONTE","ANTONIO EDUARDO MARTINS","PSL",1717,1859
"61",2014,"MG","BELO HORIZONTE","ANTONIO FERREIRA PINTO","PT",1305,51
"62",2014,"MG","BELO HORIZONTE","ANTONIO JOSE DA SILVA","PTC",3656,10
"63",2014,"MG","BELO HORIZONTE","ANTONIO JOSE DE SOUZA BRITO","PDT",1251,17
"64",2014,"MG","BELO HORIZONTE","ANTONIO JULIO CRESTON DE VASCONCELLOS","PT do B",7014,94
"65",2014,"MG","BELO HORIZONTE","ANTONIO MEDINA OLIVEIRA SILVA","PTB",1410,282
"66",2014,"MG","BELO HORIZONTE","ANTONIO OLIBONI","PSC",2020,3895
"67",2014,"MG","BELO HORIZONTE","ANTONIO PINHEIRO JUNIOR","PP",1122,10534
"68",2014,"MG","BELO HORIZONTE","ARIADNA BORGES MUNIZ","PRB",1000,2626
"69",2014,"MG","BELO HORIZONTE","ARIOVALDO DE MELO FILHO","PT do B",7080,90
"70",2014,"MG","BELO HORIZONTE","ARISTOTELES ALEXANDRE BATISTA FERREIRA","PPS",2311,185
"71",2014,"MG","BELO HORIZONTE","ATILAS MEDEIROS LOPES","PDT",1200,1563
"72",2014,"MG","BELO HORIZONTE","AUGUSTA LIMA ROCHA","PT",1317,256
"73",2014,"MG","BELO HORIZONTE","AUREA CANDIDA DOS SANTOS","PDT",1224,304
"74",2014,"MG","BELO HORIZONTE","AURELIO JOAQUIM DA SILVA","PHS",3140,1853
"75",2014,"MG","BELO HORIZONTE","BARTOLOMEU MAXIMO DE FIGUEIREDO","PSOL",5028,104
